cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 24600 14.8870 14.6040 83.1410 50.1410 0.5585 0.4816
1 0 24700 14.8190 14.5930 83.4540 50.4540 0.4236 0.3252
1 0 24800 15.0890 14.8630 83.5410 50.5410 0.4957 0.3971
1 0 24900 14.6790 14.4150 83.6300 50.6300 0.4303 0.3266
1 0 25000 14.5130 14.2100 83.8130 50.8130 0.5913 0.4606
1 0 25100 14.4000 14.1300 83.8290 50.8290 0.6616 0.5119
1 0 25200 14.8950 14.5890 83.8960 50.8960 0.6350 0.4832
1 0 25300 15.1590 14.8750 84.0400 51.0400 0.6417 0.5502
1 0 25400 14.5510 14.2220 84.3270 51.3270 0.7479 0.6183
1 0 25500 14.9340 14.6140 84.3910 51.3910 0.7620 0.6852
1 0 25600 14.4830 14.2380 84.6910 51.6910 0.7566 0.6563
1 0 25700 15.0130 14.7470 84.8620 51.8620 0.7741 0.7070
1 0 25800 14.5690 14.3030 85.0530 52.0530 0.4934 0.4675
1 0 25900 15.0860 14.7590 85.1490 52.1490 0.4826 0.4635
1 0 26000 14.7020 14.4890 85.5140 52.5140 0.4565 0.4361
1 0 26100 15.0330 14.7680 85.7640 52.7640 0.4795 0.4585
1 0 26200 15.0080 14.7370 86.1140 53.1140 0.5119 0.4775
1 0 26300 14.6570 14.4080 86.2100 53.2100 0.4733 0.4490
1 0 26400 14.7110 14.4080 86.4310 53.4310 0.2937 0.2864
1 0 26500 14.5410 14.1850 86.4810 53.4810 0.3257 0.3110
1 0 26600 14.7580 14.4680 86.7970 53.7970 0.4053 0.3861
1 0 26700 14.9940 14.7050 86.7930 53.7930 0.4440 0.4155
1 0 26800 14.7290 14.4810 86.9940 53.9940 0.4610 0.4279
1 0 26900 14.6390 14.4370 87.0410 54.0410 0.4185 0.3786
1 0 27000 14.5840 14.3160 87.4030 54.4030 0.5152 0.4438
1 0 27100 14.7050 14.3710 87.4950 54.4950 0.6203 0.5153
1 0 27200 14.8450 14.4390 87.7620 54.7620 0.7072 0.5885
1 0 27300 14.8790 14.5750 87.9040 54.9040 0.5898 0.5476
1 0 27400 14.8430 14.6210 88.1900 55.1900 0.3695 0.3552
1 0 27500 14.8990 14.6880 88.5080 55.5080 0.4191 0.4007
1 0 27600 15.5010 15.1530 88.8620 55.8620 0.5320 0.5051
1 0 27700 15.1870 14.8340 89.2280 56.2280 0.5020 0.4848
1 0 27800 15.1870 14.7960 89.3860 56.3860 0.6109 0.5794
1 0 27900 14.9700 14.6240 89.7890 56.7890 0.5639 0.5194
1 0 28000 14.8880 14.6680 90.0570 57.0570 0.7683 0.7015
1 0 28100 15.2670 15.0300 90.2930 57.2930 0.8402 0.7510
1 0 28200 14.3820 14.1960 90.6260 57.6260 0.7370 0.6753
1 0 28300 14.6930 14.5320 90.9300 57.9300 0.7470 0.7049
1 0 28400 14.2140 14.0930 91.3070 58.3070 0.6786 0.6293
1 0 28500 14.5920 14.4640 91.3420 58.3420 0.5974 0.5534
1 0 28600 14.4910 14.3120 91.5580 58.5580 0.6074 0.5611
1 0 28700 14.4800 14.3120 91.8550 58.8550 0.5177 0.4756
1 0 28800 14.4830 14.2800 92.0470 59.0470 0.5735 0.5396
1 0 28900 14.7640 14.4990 92.2690 59.2690 0.6569 0.6170
1 0 29000 14.6530 14.3600 92.4560 59.4560 0.7049 0.6363
1 0 29100 14.8390 14.5020 92.6840 59.6840 0.7625 0.6382
1 0 29200 15.0040 14.6580 92.8360 59.8360 0.6758 0.6116
1 0 29300 14.5300 14.2220 93.1000 60.1000 0.7773 0.6997
1 0 29400 14.8240 14.5340 93.2150 60.2150 0.7927 0.7539
1 0 29500 14.6180 14.3290 93.6030 60.6030 0.8690 0.8294
1 0 29600 14.5380 14.2190 93.7160 60.7160 0.7048 0.6598
1 0 29700 14.6170 14.2910 93.9380 60.9380 0.6580 0.6295
1 0 29800 14.3890 14.1020 93.9660 60.9660 0.8167 0.7719
1 0 29900 14.3950 14.1670 94.2920 61.2920 0.9264 0.8797
1 0 30000 14.7050 14.4290 94.4970 61.4970 0.9591 0.9046
1 0 30100 14.4210 14.1350 94.6610 61.6610 0.9296 0.8603
1 0 30200 14.5810 14.3090 94.7330 61.7330 0.8235 0.7713
1 0 30300 14.2380 13.9940 94.9990 61.9990 0.7138 0.6682
1 0 30400 14.2080 13.9330 95.1940 62.1940 0.7611 0.7220
1 0 30500 14.7130 14.4670 95.4520 62.4520 0.6432 0.6200
1 0 30600 14.6570 14.4660 95.6280 62.6280 0.6688 0.6256
1 0 30700 15.2110 14.9300 95.7710 62.7710 0.7184 0.6476
1 0 30800 14.6250 14.3650 95.8390 62.8390 0.6524 0.5680
1 0 30900 15.1800 14.9620 96.0290 63.0290 0.5285 0.5026
1 0 31000 14.6510 14.3760 96.3220 63.3220 0.6034 0.5691
1 0 31100 15.1870 14.8590 96.5400 63.5400 0.5997 0.5862
1 0 31200 15.0620 14.8070 96.7720 63.7720 0.8373 0.8073
1 0 31300 14.6960 14.4220 97.0980 64.0980 0.9490 0.8830
1 0 31400 14.7610 14.5160 97.2400 64.2400 1.1207 0.9927
1 0 31500 14.8600 14.6390 97.4550 64.4550 1.0794 0.9491
1 0 31600 14.9570 14.7100 97.6080 64.6080 1.2216 1.0838
1 0 31700 14.8310 14.5280 98.0770 65.0770 1.3652 1.1979
1 0 31800 14.7730 14.4400 98.2190 65.2190 1.1664 1.0612
1 0 31900 14.7410 14.3250 98.3810 65.3810 0.9752 0.8272
1 0 32000 14.5340 14.1430 98.5100 65.5100 1.0868 0.9050
1 0 32100 14.8730 14.4600 98.6910 65.6910 0.9324 0.7954
1 0 32200 14.8370 14.4170 98.9020 65.9020 1.0267 0.8553
1 0 32300 15.1130 14.7310 99.1390 66.1390 1.0382 0.8078
1 0 32400 14.8590 14.5890 99.3900 66.3900 1.0434 0.7882
1 0 32500 14.4720 14.2490 99.5660 66.5660 1.1210 0.9142
1 0 32600 14.2350 14.0160 99.9910 66.9910 1.0036 0.8018
1 0 32700 14.2830 14.1160 100.3670 67.3670 0.7802 0.7106
1 0 32800 14.5130 14.3340 100.4250 67.4250 0.7920 0.7186
1 0 32900 14.6170 14.4110 100.4830 67.4830 0.8494 0.7736
1 0 33000 14.2790 14.0860 100.6870 67.6870 0.9369 0.8758
1 0 33100 14.2850 14.0870 100.9960 67.9960 1.1185 1.0500
1 0 33200 13.8640 13.6890 101.2710 68.2710 0.9039 0.8657
1 0 33300 14.4850 14.2710 101.5200 68.5200 0.7738 0.7345
1 0 33400 14.3740 14.1410 101.7440 68.7440 0.6925 0.6776
1 0 33500 14.6250 14.3340 102.0300 69.0300 0.8021 0.7657
1 0 33600 14.2120 13.9710 102.3290 69.3290 0.9214 0.8556
1 0 33700 14.2650 13.9600 102.6310 69.6310 1.0194 0.9367
1 0 33800 13.9580 13.5590 102.7750 69.7750 0.9831 0.8998
1 0 33900 14.1590 13.8090 102.9590 69.9590 0.9021 0.8466
1 0 34000 14.3720 14.0540 103.1550 70.1550 1.0093 0.9460
1 0 34100 14.2970 14.0870 103.4590 70.4590 1.1868 1.0958
1 0 34200 14.7090 14.5130 103.6160 70.6160 1.2035 1.1207
1 0 34300 14.8890 14.6720 103.9610 70.9610 1.2035 1.1097
1 0 34400 15.2270 14.9120 104.1690 71.1690 1.2088 1.0877
1 0 34500 14.9130 14.5310 104.3950 71.3950 1.2438 1.0694
1 0 34600 14.8710 14.5080 104.6750 71.6750 1.2309 0.9968
1 0 34700 14.9080 14.6020 105.0140 72.0140 1.2798 1.0657
1 0 34800 15.2940 14.9470 105.4140 72.4140 1.2895 1.0530
1 0 34900 15.1610 14.8640 105.7450 72.7450 1.3195 1.0523
1 0 35000 15.2720 15.0350 105.8810 72.8810 1.1738 1.0136
1 0 35100 15.0940 14.9480 106.1180 73.1180 0.9685 0.9160
1 0 35200 15.0880 14.9210 106.2380 73.2380 1.0841 1.0395
1 0 35300 15.3550 15.1480 106.5510 73.5510 1.0019 0.9624
1 0 35400 15.5840 15.3420 106.7790 73.7790 1.0970 1.0406
