cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 2 3000 8.7980 3.8010 6058.1768 32.1768 51.4296 0.4954
1 2 3100 8.9120 3.7350 6059.3599 33.3599 51.8882 0.2436
1 2 3200 8.5910 3.7960 6060.4512 34.4512 51.1942 0.2669
1 2 3300 8.7800 3.7700 6061.5308 35.5308 53.6000 0.3966
1 2 3400 8.1650 3.5400 6062.6221 36.6221 52.7913 0.6559
1 2 3500 8.6460 3.8500 6063.7842 37.7842 55.2033 0.4519
1 2 3600 8.3810 3.7810 6065.0088 39.0088 52.5671 0.2875
1 2 3700 8.7490 3.6980 6066.1602 40.1602 56.2911 0.1890
1 2 3800 8.6920 3.7540 6067.1992 41.1992 54.4792 0.2541
1 2 3900 8.5100 3.6050 6068.3779 42.3779 56.5117 0.2693
1 2 4000 8.5610 3.6190 6069.4912 43.4912 55.8799 0.4894
1 2 4100 8.8760 3.6380 6070.7061 44.7061 53.9937 0.3538
1 2 4200 8.6680 3.4630 6071.8491 45.8491 56.7132 0.2911
1 2 4300 8.4220 3.6920 6073.1411 47.1411 54.8378 0.4347
1 2 4400 8.3830 3.6440 6074.4419 48.4419 54.2702 0.4759
1 2 4500 8.5250 3.7110 6075.5391 49.5391 56.2217 0.2684
1 2 4600 8.3510 3.5520 6076.3799 50.3799 56.2551 0.2827
1 2 4700 8.5890 3.7070 6077.4912 51.4912 56.0600 0.4888
1 2 4800 8.3720 3.7760 6078.6450 52.6450 54.1664 0.5029
1 2 4900 8.0640 3.5520 6079.7769 53.7769 53.7262 0.5929
1 2 5000 8.2930 3.6080 6080.6670 54.6670 53.7101 0.5064
1 2 5100 8.4320 3.5520 6081.5640 55.5640 56.7610 0.4569
1 2 5200 8.7760 3.8520 6082.4219 56.4219 54.6619 0.3671
1 2 5300 8.4240 3.5540 6083.1909 57.1909 54.9205 0.5568
1 2 5400 8.4620 3.7790 6084.0542 58.0542 51.7672 0.6526
1 2 5500 8.6330 3.5810 6084.9331 58.9331 56.8559 0.5940
1 2 5600 8.1810 3.5170 6085.6382 59.6382 55.5734 0.4410
1 2 5700 8.4450 3.6840 6086.4541 60.4541 55.3537 0.5125
1 2 5800 8.5540 3.6020 6087.4028 61.4028 54.1682 0.4051
1 2 5900 8.7440 3.7910 6088.6572 62.6572 55.4037 0.3603
1 2 6000 8.6600 3.6280 6089.6211 63.6211 53.5602 0.5168
1 2 6100 8.6310 3.6540 6090.5952 64.5952 55.7911 0.4070
1 2 6200 8.3880 3.7190 6091.5659 65.5659 54.9150 0.3689
1 2 6300 8.4130 3.5890 6092.5718 66.5718 54.2608 0.2912
1 2 6400 8.4440 3.7380 6093.7109 67.7109 52.9159 0.2060
1 2 6500 8.7550 3.6850 6094.9189 68.9189 55.8461 0.2548
1 2 6600 8.8010 3.8010 6095.9482 69.9482 56.2991 0.3783
1 2 6700 8.5990 3.9100 6097.0562 71.0562 54.9011 0.3754
1 2 6800 8.7290 3.9000 6098.2212 72.2212 53.7119 0.4826
1 2 6900 8.6260 3.8650 6099.3721 73.3721 54.4495 0.4461
1 2 7000 9.0690 4.0830 6100.4282 74.4282 51.1027 0.5809
1 2 7100 8.7120 3.7090 6101.7612 75.7612 53.0699 0.8725
1 2 7200 8.7220 3.6660 6102.9771 76.9771 57.3616 0.6860
1 2 7300 8.7370 3.6470 6104.0049 78.0049 59.2790 0.8242
1 2 7400 8.7090 3.6040 6105.2891 79.2891 62.0323 0.1859
1 2 7500 8.6610 3.6620 6106.5708 80.5708 59.3065 0.2668
1 2 7600 8.6660 3.4860 6107.6270 81.6270 58.8777 0.2289
1 2 7700 8.6070 3.5240 6108.7500 82.7500 58.3637 0.1708
1 2 7800 8.6330 3.8970 6110.0791 84.0791 54.0998 0.2253
1 2 7900 8.8530 3.8380 6111.2681 85.2681 54.3597 0.4849
1 2 8000 8.9230 3.6790 6112.5449 86.5449 56.7319 0.5154
1 2 8100 8.5960 3.6350 6113.7212 87.7212 57.5872 0.3010
1 2 8200 8.6380 3.6830 6114.7441 88.7441 57.2422 0.2794
1 2 8300 8.3540 3.5770 6116.0361 90.0361 55.2727 0.3184
1 2 8400 8.5530 3.7570 6117.0859 91.0859 55.4753 0.4517
1 2 8500 8.6800 3.8280 6118.1812 92.1812 55.8567 0.3490
1 2 8600 8.4780 3.5680 6119.1108 93.1108 57.5664 0.3562
1 2 8700 8.7390 3.7360 6120.2759 94.2759 56.2412 0.3630
1 2 8800 9.1010 3.6930 6121.1948 95.1948 56.7189 0.3458
1 2 8900 8.7100 3.4100 6122.1870 96.1870 58.8339 0.3721
1 2 9000 8.5350 3.4300 6123.1860 97.1860 56.1859 0.5257
1 2 9100 8.5390 3.6030 6124.0679 98.0679 52.9204 0.2176
1 2 9200 8.6990 3.6620 6124.9448 98.9448 53.3859 0.3252
1 2 9300 8.3590 3.6360 6125.8291 99.8291 53.1418 0.3350
1 2 9400 8.5440 3.6090 6126.8950 100.8950 55.0503 0.1793
2 0 100 4.7920 3.3780 6026.9258 0.9258 29.4353 0.1477
2 0 200 8.2630 3.9240 6027.8589 1.8589 44.8360 0.2966
2 0 300 7.9380 3.5250 6028.9658 2.9658 47.2357 0.5464
2 0 400 8.1670 3.5050 6030.0151 4.0151 50.1544 0.2545
2 0 500 8.4010 3.5960 6031.0400 5.0400 49.6398 0.2350
2 0 600 8.5710 3.6060 6032.0840 6.0840 50.7097 0.1705
2 0 700 8.5100 3.8210 6033.1470 7.1470 50.3981 0.2408
2 0 800 8.3150 3.5700 6034.1748 8.1748 53.4254 0.4238
2 0 900 8.4090 3.7090 6035.1841 9.1841 52.4508 0.5500
2 0 1000 8.9430 3.8040 6036.1470 10.1470 48.8906 0.3039
2 0 1100 9.1130 3.7930 6037.1089 11.1089 51.8765 0.3886
2 0 1200 8.2770 3.7070 6038.1670 12.1670 49.8472 0.4219
2 0 1300 8.3990 3.7690 6039.1108 13.1108 50.0457 0.4394
2 0 1400 8.1100 3.6370 6040.1670 14.1670 49.6202 0.2510
2 0 1500 8.7050 3.7590 6041.2031 15.2031 49.1415 0.3911
2 0 1600 8.2590 3.6860 6042.2300 16.2300 48.1310 0.4691
2 0 1700 8.5520 3.7190 6043.2310 17.2310 50.5843 0.5442
2 0 1800 8.5230 3.8380 6044.3159 18.3159 49.8980 0.4114
2 0 1900 8.5100 3.6540 6045.2998 19.2998 53.3840 0.3180
2 0 2000 8.3340 3.8820 6046.3892 20.3892 46.6851 0.2473
2 0 2100 8.2430 3.7340 6047.4941 21.4941 48.5623 0.2724
2 0 2200 8.9590 3.8510 6048.3638 22.3638 52.5495 0.5025
2 0 2300 8.7610 3.9180 6049.3950 23.3950 49.8791 0.2897
2 0 2400 8.8160 3.7950 6050.3389 24.3389 51.4420 0.3855
2 0 2500 8.7150 3.7690 6051.3970 25.3970 52.0986 0.2096
2 0 2600 8.8740 3.6820 6052.3950 26.3950 52.8867 0.1757
2 0 2700 8.8870 3.6650 6053.4629 27.4629 53.8084 0.2808
2 0 2800 8.7920 3.6060 6054.4219 28.4219 55.9361 0.5019
2 0 2900 8.7210 3.5490 6055.3931 29.3931 58.6205 0.2184
2 0 3000 8.6250 3.8120 6056.4639 30.4639 54.6686 0.5299
2 0 3100 8.6080 3.6960 6057.5479 31.5479 56.4523 0.3950
2 0 3200 8.4000 3.6020 6058.4380 32.4380 52.6827 0.3326
2 0 3300 8.6710 3.6170 6059.2012 33.2012 54.8468 0.3470
2 0 3400 8.3830 3.5180 6060.3462 34.3462 53.3421 0.3948
2 0 3500 8.4810 3.7260 6061.3208 35.3208 50.5871 0.3776
2 0 3600 8.8230 3.8640 6062.3872 36.3872 50.7817 0.3248
2 0 3700 8.6860 3.6830 6063.3892 37.3892 53.3066 0.4700
2 0 3800 8.7060 3.7200 6064.3301 38.3301 51.2821 0.3282
2 0 3900 8.5790 3.7230 6065.4282 39.4282 53.2105 0.2823
2 0 4000 8.5650 3.5220 6066.4512 40.4512 56.8859 0.6116
2 0 4100 8.6680 3.5190 6067.4302 41.4302 57.0183 0.5652
2 0 4200 8.5510 3.5480 6068.3970 42.3970 57.5733 0.5259
2 0 4300 8.4540 3.7400 6069.4380 43.4380 54.8516 0.2179
2 0 4400 8.6210 3.7290 6070.2451 44.2451 57.6231 0.5862
2 0 4500 8.3710 3.6660 6071.2070 45.2070 56.0306 0.2534
