"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"5646",3447,"final","uni","94_37",47,21.0713075057055,1.38629436111989e-05,0,0.00367447845668241,98,3,0.0306122448979592,"DW.30"
"5647",3447,"final","uni","95_21",259,271.529003975634,1.38629436111989e-05,0,0.00367447845668241,94,2,0.0212765957446809,"DW.30"
"5648",3447,"final","uni","95_36",275,255.456454214804,1.38629436111989e-05,0,0.00367447845668241,94,4,0.0425531914893617,"DW.30"
"5649",3447,"final","uni","96_5",199.56,325.39120317249,0.00243641403499739,0.000335246738482708,0.645790038121805,50,50,1,"DW.30"
"5650",3447,"final","uni","96_28",178.468085106383,196.844216827489,0.00252481358510521,0.000271699427220062,0.669221010039572,47,47,1,"DW.30"
"5651",3447,"final","uni","96_32",250.1,282.812207830495,0.00257795411078025,0.000267256505908585,0.683306309832033,50,50,1,"DW.30"
"5652",3447,"final","uni","96_35",255.024390243902,381.304831322977,0.00257762763051715,0.000295335760708141,0.683219773759542,41,41,1,"DW.30"
"5653",3447,"final","uni","97_0",2.02352941176471,0.216930457818656,1.38629436111989e-05,0,0.00367447845668241,98,85,0.86734693877551,"DW.30"
"5654",3447,"final","uni","97_2",2,0,1.38629436111989e-05,0,0.00367447845668241,99,96,0.96969696969697,"DW.30"
"5655",3447,"final","uni","97_3",3.23404255319149,11.964486456602,1.38629436111989e-05,0,0.00367447845668241,100,94,0.94,"DW.30"
"5656",3447,"final","uni","97_5",2.02272727272727,0.21320071635561,1.38629436111989e-05,0,0.00367447845668241,97,88,0.907216494845361,"DW.30"
"5657",3447,"final","uni","97_8",0,0,1.38629436111989e-05,0,0.00367447845668241,100,100,1,"DW.30"
"5658",3447,"final","uni","97_9",2,0,1.38629436111989e-05,0,0.00367447845668241,100,92,0.92,"DW.30"
"5659",3447,"final","uni","97_11",0,0,1.38629436111989e-05,0,0.00367447845668241,100,100,1,"DW.30"
"5660",3447,"final","uni","97_13",2.50526315789474,3.88086874517101,1.38629436111989e-05,0,0.00367447845668241,99,95,0.95959595959596,"DW.30"
"5661",3447,"final","uni","97_14",2.0752688172043,0.725866186311298,1.38629436111989e-05,0,0.00367447845668241,100,93,0.93,"DW.30"
"5662",3447,"final","uni","97_15",3.44186046511628,13.3712638772264,1.38629436111989e-05,0,0.00367447845668241,100,86,0.86,"DW.30"
"5663",3447,"final","uni","97_16",2.07865168539326,0.741998516004452,1.38629436111989e-05,0,0.00367447845668241,99,89,0.898989898989899,"DW.30"
"5664",3447,"final","uni","97_17",2.53846153846154,4.45547775791576,1.38629436111989e-05,0,0.00367447845668241,98,91,0.928571428571429,"DW.30"
"5665",3447,"final","uni","97_18",2.58064516129032,5.5995391515443,1.38629436111989e-05,0,0.00367447845668241,99,93,0.939393939393939,"DW.30"
"5666",3447,"final","uni","97_19",2.15555555555556,1.47572957474524,1.38629436111989e-05,0,0.00367447845668241,97,90,0.927835051546392,"DW.30"
"5667",3447,"final","uni","97_20",4.47311827956989,22.4294019952894,1.38629436111989e-05,0,0.00367447845668241,100,93,0.93,"DW.30"
"5668",3447,"final","uni","97_21",2.41304347826087,2.92451620461503,1.38629436111989e-05,0,0.00367447845668241,99,92,0.929292929292929,"DW.30"
"5669",3447,"final","uni","97_22",2.32183908045977,3.00191509754583,1.38629436111989e-05,0,0.00367447845668241,95,87,0.91578947368421,"DW.30"
"5670",3447,"final","uni","97_26",2.20212765957447,1.67575877363025,1.38629436111989e-05,0,0.00367447845668241,100,94,0.94,"DW.30"
"5671",3447,"final","uni","97_27",2,0,1.38629436111989e-05,0,0.00367447845668241,100,90,0.9,"DW.30"
"5672",3447,"final","uni","97_28",2.02298850574713,0.214422506967559,1.38629436111989e-05,0,0.00367447845668241,99,87,0.878787878787879,"DW.30"
